Index,Time,airtemp,relativehumidity,windspeed,solar,vapourpressure,IF_Flag,OC_Flag,GT_Label
0,1970-01-01 05:36:50.623141505,10.2,97.2,1.45,0.0,1.21,0,0,0
1,1970-01-01 05:36:50.623141505,10.8,97.0,1.29,0.0,1.26,0,0,0
2,1970-01-01 05:36:50.623141752,10.9,90.0,2.63,0.0,1.17,0,0,0
3,1970-01-01 05:36:50.623142137,1.7932558373679814,95.0,2.02,415.9022833396033,0.6570514225829118,1,1,1
4,1970-01-01 05:36:50.623142645,10.9,89.0,1.31,0.0,1.16,0,0,0
5,1970-01-01 05:36:50.623143003,10.8,93.6,1.81,0.0,1.21,0,0,0
6,1970-01-01 05:36:50.623143005,10.9,97.8,5.311035059582959,0.0,1.27,0,1,1
7,1970-01-01 05:36:50.623143005,10.2,96.2,1.4,0.0,1.2,0,0,0
8,1970-01-01 05:36:50.623143257,11.0,91.0,2.88,0.0,1.19,0,0,0
9,1970-01-01 05:36:50.623143657,10.6,95.0,2.09,0.0,1.21,0,0,0
10,1970-01-01 05:36:50.623144152,10.5,92.0,1.25,0.0,1.17,0,0,0
11,1970-01-01 05:36:50.623144504,11.1,92.5,2.72,0.0,1.22,0,0,0
12,1970-01-01 05:36:50.623144505,10.3,96.3,1.51,0.0,1.21,0,0,0
13,1970-01-01 05:36:50.623144505,10.7,98.4,1.01,0.0,1.26,0,0,0
14,1970-01-01 05:36:50.623144747,11.0,90.0,2.68,0.0,1.19,0,0,0
15,1970-01-01 05:36:50.623145133,10.4,95.0,1.76,0.0,1.2,0,0,0
16,1970-01-01 05:36:50.623145631,10.4,93.0,1.62,0.0,1.18,0,0,0
17,1970-01-01 05:36:50.623150003,11.1,92.8,2.73,0.0,1.23,0,0,0
18,1970-01-01 05:36:50.623150005,10.4,98.4,0.81,0.0,1.24,0,0,0
19,1970-01-01 05:36:50.623150005,10.4,96.3,1.31,0.0,1.22,0,0,0
20,1970-01-01 05:36:50.623150246,10.9,90.0,2.62,0.0,1.17,0,0,0
21,1970-01-01 05:36:50.623150620,10.3,95.0,1.5,0.0,1.19,0,0,0
22,1970-01-01 05:36:50.623151111,10.3,93.0,1.77,0.0,1.16,0,0,0
23,1970-01-01 05:36:50.623151503,11.0,92.9,2.65,0.0,1.21,0,0,0
24,1970-01-01 05:36:50.623151505,10.5,96.1,1.25,0.0,1.22,0,0,0
25,1970-01-01 05:36:50.623151505,10.1,98.2,0.89,0.0,1.21,0,0,0
26,1970-01-01 05:36:50.623151753,10.9,89.0,2.94,0.0,1.17,0,0,0
27,1970-01-01 05:36:50.623152150,10.4,95.0,1.93,0.0,1.19,0,0,0
28,1970-01-01 05:36:50.623152600,10.2,92.0,1.3,0.0,1.14,0,0,0
29,1970-01-01 05:36:50.623153003,11.0,91.2,2.78,0.0,1.19,0,0,0
30,1970-01-01 05:36:50.623153005,9.8,98.1,0.65,0.0,1.19,0,0,0
31,1970-01-01 05:36:50.623153005,10.4,96.3,1.3,0.0,1.21,0,0,0
32,1970-01-01 05:36:50.623153247,10.8,90.0,1.87,0.0,1.16,0,0,0
33,1970-01-01 05:36:50.623153709,10.4,95.0,1.97,0.0,1.2,0,0,0
34,1970-01-01 05:36:50.623154040,10.2,92.0,1.45,0.0,1.14,0,0,0
35,1970-01-01 05:36:50.623154503,10.9,92.1,2.36,0.0,1.2,0,0,0
36,1970-01-01 05:36:50.623154505,10.1,96.9,1.11,0.0,1.2,0,0,0
37,1970-01-01 05:36:50.623154505,9.5,97.9,0.53,0.0,1.16,0,0,0
38,1970-01-01 05:36:50.623154751,10.5,90.0,2.13,0.0,1.14,0,0,0
39,1970-01-01 05:36:50.623155529,10.2,92.0,1.18,0.0,1.14,0,0,0
40,1970-01-01 05:36:50.623160003,10.7,92.7,2.44,0.0,0.6470514225829118,0,1,1
41,1970-01-01 05:36:50.623160005,9.3,97.2,0.78,0.0,1.14,0,0,0
42,1970-01-01 05:36:50.623160005,9.8,96.8,1.1,0.0,1.18,0,0,0
43,1970-01-01 05:36:50.623160255,10.3,90.0,2.37,0.0,1.13,0,0,0
44,1970-01-01 05:36:50.623160636,10.3,95.0,1.61,0.0,1.19,0,0,0
45,1970-01-01 05:36:50.623161020,10.2,93.0,1.49,0.0,1.15,0,0,0
46,1970-01-01 05:36:50.623161504,19.306744162632018,92.7,2.41,0.0,0.6470514225829118,0,1,1
47,1970-01-01 05:36:50.623161505,9.5,97.3,0.82,0.0,1.15,0,0,0
48,1970-01-01 05:36:50.623161505,9.4,96.1,0.79,0.0,1.13,0,0,0
49,1970-01-01 05:36:50.623161803,10.0,90.0,1.97,0.0,1.1,0,0,0
50,1970-01-01 05:36:50.623162131,10.0,95.0,1.22,0.0,1.17,0,0,0
51,1970-01-01 05:36:50.623162537,10.3,92.0,1.71,0.0,1.15,0,0,0
52,1970-01-01 05:36:50.623163003,10.5,92.5,2.41,0.0,1.17,0,0,0
53,1970-01-01 05:36:50.623163005,9.2,96.8,0.82,0.0,1.13,0,0,0
54,1970-01-01 05:36:50.623163005,9.1,97.3,0.79,0.0,1.12,0,0,0
55,1970-01-01 05:36:50.623163322,9.7,90.0,2.05,0.0,1.08,0,0,0
56,1970-01-01 05:36:50.623164049,10.3,92.0,1.39,0.0,1.15,0,0,0
57,1970-01-01 05:36:50.623164503,10.3,92.0,2.31,0.0,1.15,0,0,0
58,1970-01-01 05:36:50.623164505,8.9,97.7,0.72,0.0,1.12,0,0,0
59,1970-01-01 05:36:50.623164505,8.8,96.8,0.62,0.0,1.1,0,0,0
60,1970-01-01 05:36:50.623164848,9.4,90.0,2.3,0.0,1.06,0,0,0
61,1970-01-01 05:36:50.623165055,9.4,95.0,1.54,0.0,1.13,0,0,0
62,1970-01-01 05:36:50.623165608,10.1,92.0,1.34,0.0,1.13,0,0,0
63,1970-01-01 05:36:50.623170003,10.0,91.9,2.38,0.0,1.13,0,0,0
64,1970-01-01 05:36:50.623170005,8.8,96.9,0.86,0.0,1.1,0,0,0
65,1970-01-01 05:36:50.623170005,8.6,96.8,0.54,0.0,1.08,0,0,0
66,1970-01-01 05:36:50.623170400,9.4,89.0,2.44,0.0,1.05,0,0,0
67,1970-01-01 05:36:50.623170542,9.2,95.0,6.041035059582959,0.0,0.557051422582912,1,1,1
68,1970-01-01 05:36:50.623171503,9.8,91.8,2.39,0.0,1.11,0,0,0
69,1970-01-01 05:36:50.623171505,8.3,96.5,0.54,0.0,1.06,0,0,0
70,1970-01-01 05:36:50.623171505,8.6,97.0,0.51,0.0,1.6329485774170882,0,1,1
71,1970-01-01 05:36:50.623171847,9.3,90.0,2.57,0.0,1.05,0,0,0
72,1970-01-01 05:36:50.623172100,9.0,95.0,1.83,0.0,1.09,0,0,0
73,1970-01-01 05:36:50.623173003,9.7,91.9,2.43,0.0,1.11,0,0,0
74,1970-01-01 05:36:50.623173005,8.4,97.4,0.5,0.0,1.07,0,0,0
75,1970-01-01 05:36:50.623173005,8.3,96.1,0.78,0.0,1.02,0,0,0
76,1970-01-01 05:36:50.623173333,9.3,90.0,2.54,0.0,1.05,0,0,0
77,1970-01-01 05:36:50.623173553,8.8,95.0,1.45,0.0,1.08,0,0,0
78,1970-01-01 05:36:50.623174503,9.6,92.4,2.27,0.0,1.1,0,0,0
79,1970-01-01 05:36:50.623174505,8.2,96.7,0.64,0.0,1.05,0,0,0
80,1970-01-01 05:36:50.623174505,7.9,98.6,0.54,0.0,1.05,0,0,0
81,1970-01-01 05:36:50.623174813,9.1,91.0,2.18,0.0,1.05,0,0,0
82,1970-01-01 05:36:50.623175049,8.7,95.0,1.96,0.0,1.06,0,0,0
83,1970-01-01 05:36:50.623180004,9.5,92.3,2.32,0.0,1.1,0,0,0
84,1970-01-01 05:36:50.623180005,8.0,96.8,0.87,0.0,1.04,0,0,0
85,1970-01-01 05:36:50.623180005,8.0,96.6,0.65,0.0,1.03,0,0,0
86,1970-01-01 05:36:50.623180312,8.8,92.0,2.1,0.0,1.03,0,0,0
87,1970-01-01 05:36:50.623180523,8.4,95.0,2.08,0.0,1.05,0,0,0
88,1970-01-01 05:36:50.623181033,9.0,88.0,0.81,0.0,1.0,0,0,0
89,1970-01-01 05:36:50.623181503,9.4,92.7,2.41,0.0,1.1,0,0,0
90,1970-01-01 05:36:50.623181505,7.9,97.3,0.76,0.0,1.04,0,0,0
91,1970-01-01 05:36:50.623181505,7.8,96.6,0.89,0.0,1.02,0,0,0
92,1970-01-01 05:36:50.623181814,8.6,91.0,2.0,0.0,1.02,0,0,0
93,1970-01-01 05:36:50.623182557,9.0,87.0,0.95,0.0,0.99,0,0,0
94,1970-01-01 05:36:50.623183003,9.2,93.3,2.32,0.0,1.09,0,0,0
95,1970-01-01 05:36:50.623183005,7.8,97.2,0.72,0.0,1.03,0,0,0
96,1970-01-01 05:36:50.623183005,7.7,96.9,0.79,0.0,1.02,0,0,0
97,1970-01-01 05:36:50.623183253,8.5,116.21858505268635,1.99,0.0,1.01,0,1,1
98,1970-01-01 05:36:50.623183501,7.9,69.78141494731365,6.251035059582959,-415.9022833396033,1.02,1,1,1
99,1970-01-01 05:36:50.623184043,9.1,86.0,0.89,0.0,0.98,0,0,0
100,1970-01-01 05:36:50.623184503,9.1,93.0,2.22,0.0,1.08,0,0,0
101,1970-01-01 05:36:50.623184505,7.9,96.8,0.83,0.0,1.03,0,0,0
102,1970-01-01 05:36:50.623184505,7.5,97.1,0.85,0.0,1.01,0,0,0
103,1970-01-01 05:36:50.623184755,8.3,91.0,1.95,0.0,1.0,0,0,0
104,1970-01-01 05:36:50.623185541,9.2,85.0,1.15,0.0,0.98,0,0,0
105,1970-01-01 05:36:50.623190003,9.0,92.8,2.25,0.0,1.06,0,0,0
106,1970-01-01 05:36:50.623190005,7.9,96.6,0.71,0.0,1.03,0,0,0
107,1970-01-01 05:36:50.623190005,7.4,96.9,0.88,0.0,1.0,0,0,0
108,1970-01-01 05:36:50.623190324,7.9,93.0,2.23,0.0,0.99,0,0,0
109,1970-01-01 05:36:50.623190458,7.6,95.0,1.7,0.0,1.0,0,0,0
110,1970-01-01 05:36:50.623191015,9.2,108.21858505268635,1.22,0.0,0.42705142258291184,0,1,1
111,1970-01-01 05:36:50.623191504,9.1,92.3,2.62,0.0,1.06,0,0,0
112,1970-01-01 05:36:50.623191505,7.4,97.1,0.89,0.0,1.0,0,0,0
113,1970-01-01 05:36:50.623191505,8.0,96.2,1.02,0.0,1.03,0,0,0
114,1970-01-01 05:36:50.623191815,7.9,92.0,2.13,0.0,0.98,0,0,0
115,1970-01-01 05:36:50.623192023,7.5,95.0,1.59,0.0,0.98,0,0,0
116,1970-01-01 05:36:50.623192534,9.0,85.0,1.04,0.0,0.97,0,0,0
117,1970-01-01 05:36:50.623193003,8.9,92.8,2.52,0.0,1.06,0,0,0
118,1970-01-01 05:36:50.623193005,7.9,97.0,0.83,0.0,1.03,0,0,0
119,1970-01-01 05:36:50.623193005,7.2,97.3,0.84,0.0,0.99,0,0,0
120,1970-01-01 05:36:50.623193334,7.9,92.0,2.1,0.0,0.98,0,0,0
121,1970-01-01 05:36:50.623193543,7.1,95.0,0.86,0.0,0.96,0,0,0
122,1970-01-01 05:36:50.623194054,8.3,89.0,0.84,0.0,0.97,0,0,0
123,1970-01-01 05:36:50.623194504,8.9,92.7,2.52,0.0,1.05,0,0,0
124,1970-01-01 05:36:50.623194505,7.7,97.2,0.87,0.0,1.02,0,0,0
125,1970-01-01 05:36:50.623194505,7.2,96.7,0.91,0.0,0.98,0,0,0
126,1970-01-01 05:36:50.623194823,7.8,92.0,2.01,0.0,0.97,0,0,0
127,1970-01-01 05:36:50.623195029,7.1,93.0,1.06,0.0,0.94,0,0,0
